,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
117,2015-03-16,South Asia,India,Theft at anchorage,Product tanker,0,Anchorage,17.6383333333333,83.42,Evening,1,1,2015,3,12,16,0,2015-03
118,2015-03-18,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Off shore,1.26,104.15,Night,1,0,2015,3,12,18,2,2015-03
119,2015-03-19,West Africa,Nigeria,Kidnap/ransom at sea,Supply vessel,0,Off shore,4.18333333333333,8.0,Night,1,1,2015,3,12,19,3,2015-03
120,2015-03-19,South East Asia,Singapore,Armed robbery at sea,Bulk carrier,0,Off shore,1.27833333333333,104.276666666667,Night,1,1,2015,3,12,19,3,2015-03
121,2015-03-20,South East Asia,Philippines,"Failed attack, robbery",Bulk carrier,0,Off shore,6.0,119.21666666666701,Morning,1,0,2015,3,12,20,4,2015-03
122,2015-03-20,South East Asia,Indonesia,"Failed attack, robbery",Chemical tanker,0,Anchorage,1.7,101.483333333333,Evening,1,0,2015,3,12,20,4,2015-03
123,2015-03-21,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.22666666666667,103.971666666667,Night,1,0,2015,3,12,21,5,2015-03
124,2015-03-21,South East Asia,Indonesia,Armed robbery at sea,Container ship,0,Off shore,1.11666666666667,103.566666666667,Night,1,1,2015,3,12,21,5,2015-03
125,2015-03-21,South Asia,Bangladesh,Armed robbery at anchorage,Tug,0,Anchorage,22.1,91.7333333333333,Morning,1,1,2015,3,12,21,5,2015-03
126,2015-03-21,West Africa,Nigeria,Kidnap/ransom at sea,Other,0,Off shore,4.06666666666667,7.5,Evening,1,1,2015,3,12,21,5,2015-03
127,2015-03-21,South East Asia,Indonesia,Armed robbery at anchorage,Bulk carrier,0,Anchorage,3.93333333333333,98.75,Night,1,1,2015,3,12,21,5,2015-03
128,2015-03-22,Middle East,Yemen,Suspicious activity at sea,General cargo vessel,0,Off shore,14.416666666666698,42.5833333333333,Night,1,0,2015,3,12,22,6,2015-03
129,2015-03-22,South East Asia,Malaysia,Hijacking at sea,Tug,0,Off shore,2.84333333333333,104.511666666667,Evening,1,1,2015,3,12,22,6,2015-03
130,2015-03-23,South East Asia,Philippines,Theft at anchorage,Other,0,Anchorage,20.716666666666697,107.183333333333,Night,1,1,2015,3,13,23,0,2015-03
131,2015-03-23,South East Asia,Indonesia,"Failed attack, robbery",Container ship,0,Off shore,1.1683333333333301,103.473333333333,Morning,1,0,2015,3,13,23,0,2015-03
132,2015-03-23,South Asia,Bangladesh,Theft at anchorage,Container ship,0,Anchorage,22.2896780555556,91.6929247222222,Morning,1,1,2015,3,13,23,0,2015-03
133,2015-03-24,East Africa,Somalia,Hijacking at sea,Fishing vessel,0,Off shore,8.720498888888889,50.497970555555604,Unknown,1,1,2015,3,13,24,1,2015-03
134,2015-03-24,East Africa,Somalia,Hijacking at sea,Fishing vessel,0,Off shore,8.82306027777778,50.4890441666667,Unknown,1,1,2015,3,13,24,1,2015-03
135,2015-03-25,South East Asia,Thailand,Armed robbery at berth,Bulk carrier,0,Berth,13.517195000000001,100.64025888888901,Evening,1,1,2015,3,13,25,2,2015-03
136,2015-03-25,West Africa,Cote D'Ivoire,"Failed attack, robbery",General cargo vessel,0,Berth,5.289609444444441,-3.98454,Night,1,0,2015,3,13,25,2,2015-03
137,2015-03-25,West Africa,Nigeria,"Failed attack, kidnap/ransom",Supply vessel,0,Off shore,4.23333333333333,7.98333333333333,Evening,1,0,2015,3,13,25,2,2015-03
